,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline
335,P3,204,"Institute of Land Surface System and Sustainable Development, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China.;State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China.",Beijing Normal University,China,STEM
336,P3,202,"College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, 100083, China.",China University of Mining & Technology,China,STEM
337,P3,202,"College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, 100083, China.",China University of Mining & Technology,China,STEM
338,P3,202,"College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, 100083, China.",China University of Mining & Technology,China,STEM
339,P29,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,STEM
340,P29,205,"Laboratory for Animal Health, French Agency for Food, Environmental and Occupational Health and Safety (ANSES), University Paris-Est, 14 rue Pierre et Marie Curie, 94700, Maisons-Alfort, France.","French Agency for Food, Environmental and Occupational Health and Safety (ANSES)",France,SHAPE
341,P29,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse",France,STEM
342,P29,196,"Direction Générale de l'Alimentation, Paris, France.",Direction Générale de l'Alimentation,France,SHAPE
343,P29,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.",Université de Toulouse,France,STEM
344,P29,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,SHAPE
345,P29,206,"Mathematical Modelling of Infectious Diseases Unit, Institut Pasteur, Université de Paris Cité, CNRS UMR2000, 75015, Paris, France.",Institut Pasteur,France,STEM
346,P29,205,"Mathematical Modelling of Infectious Diseases Unit, Institut Pasteur, Université de Paris Cité, CNRS UMR2000, 75015, Paris, France.","Institut Pasteur, Université de Paris Cité, CNRS UMR2000",France,STEM
347,P29,165,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France.","IHAP, Université de Toulouse, INRAE, ENVT",France,STEM-Biology
348,P29,207,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France. timothee.vergne@envt.fr.","IHAP, Université de Toulouse, INRAE, ENVT",France,SHAPE
349,P43,208,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.;Department of Public Health and Community Medicine, Tufts University School of Medicine, Boston, MA 02111, USA.",Tufts University,United States of America,PH-VET
350,P43,209,"Department of Biology, University of Massachusetts, Boston, Boston, MA 02125, USA.","University of Massachusetts, Boston",United States,STEM-Biology
351,P43,210,"Institute of Bioinformatics, University of Georgia, Athens, GA 30602, USA.",University of Georgia,United States of America,STEM-Bioinformatics
352,P43,211,"Friedman School of Nutrition Science and Policy, Tufts University, Boston, MA 02155, USA.",Tufts University,United States,SHAPE
353,P43,212,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.",Tufts University,United States,PH-VET
354,P43,211,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.",Tufts University,United States of America,PH-VET
355,P44,211,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.",Tufts University,United States,PH-VET
356,P44,211,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.",Tufts University,United States of America,PH-VET
357,P44,213,"Department of Biology, University of Massachusetts, Boston, MA 02125, USA.",University of Massachusetts,United States,STEM-Biology
358,P44,211,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.",Tufts University,United States,PH-VET
359,P44,211,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.","Cummings School of Veterinary Medicine, Tufts University",United States,PH-VET
360,P44,211,"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.",Tufts University,United States,PH-VET
361,p20,214,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.",Harbin Veterinary Research Institute,China,PH-VET
362,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.",Harbin Veterinary Research Institute,China,PH-VET
363,p20,215,"College of Agronomy, Liaocheng University, Liaocheng, 252000, China.",Liaocheng University,China,STEM
364,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.",Harbin Veterinary Research Institute,China,PH-VET
365,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
366,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
367,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
368,p20,214,"College of Agronomy, Liaocheng University, Liaocheng, 252000, China.",Liaocheng University,China,STEM
369,p20,214,"College of Agronomy, Liaocheng University, Liaocheng, 252000, China.",Liaocheng University,China,STEM-Biology
370,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.",Chinese Academy of Agricultural Sciences,China,PH-VET
371,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.",Harbin Veterinary Research Institute,China,PH-VET
372,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
373,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.",Harbin Veterinary Research Institute,China,PH-VET
374,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
375,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
376,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
377,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
378,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
379,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.",Harbin Veterinary Research Institute,China,PH-VET
380,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
381,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
382,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
383,p20,213,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
384,p20,216,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China.;Guangdong Laboratory for Lingnan Modern Agriculture, Guangzhou, 510642, China.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences; Guangdong Laboratory for Lingnan Modern Agriculture",China,PH-VET
385,p20,217,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China. dengguohua01@caas.cn.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
386,p20,218,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, 150069, China. chenhualan@caas.cn.;Guangdong Laboratory for Lingnan Modern Agriculture, Guangzhou, 510642, China. chenhualan@caas.cn.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,PH-VET
387,P45,219,"School of Geography and Environment, Jiangxi Normal University, Nanchang, 330022, Jiangxi, People's Republic of China.;School of Geography and Planning, Sun Yat-Sen University, Guangzhou, 510006, Guangdong Province, People's Republic of China.","Jiangxi Normal University, Sun Yat-Sen University",People's Republic of China,STEM
388,P45,220,"School of Geography and Environment, Jiangxi Normal University, Nanchang, 330022, Jiangxi, People's Republic of China.;Department of Geography, Dartmouth College, Hanover, NH, 03755, USA.;Nanchang City Center for Disease Control and Prevention, Nanchang, 330038, Jiangxi, People's Republic of China.","Jiangxi Normal University, Dartmouth College, Nanchang City Center for Disease Control and Prevention","China, United States",SHAPE
389,P45,221,"School of Geography and Environment, Jiangxi Normal University, Nanchang, 330022, Jiangxi, People's Republic of China. Luojin@jxnu.edu.cn.",Jiangxi Normal University,People's Republic of China,STEM
390,P45,222,"Department of Earth System Science, Ministry of Education Key Laboratory for Earth System Modeling, Institute for Global Change Studies, Tsinghua University, Beijing, 100084, China.;Ministry of Education Ecological Field Station for East Asian Migratory Birds, Beijing, 100084, China.",Tsinghua University,China,STEM-Ecology
391,P45,223,"School of Geographic Sciences, Key Lab of Geographic Information Science (Ministry of Education), East China Normal University, Shanghai, 200241, China.",East China Normal University,China,SHAPE
392,P2,224,"Department of Public Health, Graduate School, Korea University, Seoul, Republic of Korea.",Korea University,Republic of Korea,PH-EPİ
393,P2,225,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA.","University of California, Davis",United States of America,PH-VET
394,P2,224,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA.","University of California, Davis",United States (USA),PH-VET
395,P2,226,"Department of Public Health, College of Medicine, Korea University, Seoul, Republic of Korea.",Korea University,Republic of Korea,PH-MED
396,P2,227,"One Health Institute, School of Veterinary Medicine, University of California, Davis, California, USA.",University of California,United States of America,PH-VET
397,P2,223,"Department of Public Health, Graduate School, Korea University, Seoul, Republic of Korea.",Korea University,Republic of Korea,PH-EPI
398,P1,228,"Korea Institute of Ornithology, Kyung Hee University, Seoul, Republic of Korea.",Korea Institute of Ornithology,Republic of Korea,STEM
399,P1,229,"Korea Institute of Ornithology, Kyung Hee University, Seoul, Republic of Korea.;Department of Biology, Kyung Hee University, Seoul, Republic of Korea.","Korea Institute of Ornithology, Kyung Hee University, Seoul, Republic of Korea",Republic of Korea,STEM-Biology
400,P1,228,"Korea Institute of Ornithology, Kyung Hee University, Seoul, Republic of Korea.;Department of Biology, Kyung Hee University, Seoul, Republic of Korea.","Korea Institute of Ornithology, Kyung Hee University",South Korea,STEM-Biology
401,P1,228,"Korea Institute of Ornithology, Kyung Hee University, Seoul, Republic of Korea.;Department of Biology, Kyung Hee University, Seoul, Republic of Korea.","Korea Institute of Ornithology, Kyung Hee University; Department of Biology, Kyung Hee University",Republic of Korea,STEM-Biology
402,P1,230,"Environment Assessment Group, Korea Environment Institute, Sejong, Republic of Korea.",Korea Environment Institute,Republic of Korea,STEM
403,P8,231,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat, 4 Avenue Ibn Battouta, Rabat 10106, Morocco.",Mohammed V University in Rabat,Morocco,STEM-Ecology
404,P8,232,"Mouahid's Veterinary Clinic, Temara 12000, Morocco.",Mouahid's Veterinary Clinic,Morocco,PH-VET
405,P8,233,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy.",Istituto Zooprofilattico Sperimentale delle Venezie,Italy,SHAPE
406,P8,232,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy.",Istituto Zooprofilattico Sperimentale delle Venezie,Italy,PH-VET
407,P8,234,"Immunology and Biodiversity Laboratory, Faculty of Science Ain chock, Hassan II University of Casablanca, Casablanca 20100, Morocco.",Hassan II University of Casablanca,Morocco,STEM-Biology
408,P8,235,"Division of Pharmacy and Veterinary Inputs, Food Safety National Office (ONSSA), Rue Ikhlas Cym, PB 4509 Akkari, Rabat 10050, Morocco.",Food Safety National Office (ONSSA),Morocco,PH-VET
409,P8,232,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy.",Istituto Zooprofilattico Sperimentale delle Venezie,Italy,PH-VET
410,P8,232,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy.",Istituto Zooprofilattico Sperimentale delle Venezie,Italy,SHAPE
411,P8,236,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat, 4 Avenue Ibn Battouta, Rabat 10106, Morocco.;Ecole supérieure de Technologie de Lâayoune, Quartier 24 Mars, Lâayoune 3007, Morocco.","Mohammed V University in Rabat, Ecole supérieure de Technologie de Lâayoune",Morocco,STEM-Ecology
412,P8,232,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy.",Istituto Zooprofilattico Sperimentale delle Venezie,Italy,PH-VET
413,P8,230,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat, 4 Avenue Ibn Battouta, Rabat 10106, Morocco.",Mohammed V University in Rabat,Morocco,STEM-Ecology
414,P10,237,"Department of Veterinary and Animal Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, Frederiksberg, Denmark.",University of Copenhagen,Denmark,PH-VET
415,P10,238,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Sydney, NSW, Australia.",The University of Sydney,Australia,PH-VET
416,P25,239,"Department of Environmental Science and Technology, University of Maryland, College Park, Maryland, USA.;Department of Biology, Frostburg State University, Frostburg, Maryland, USA.","University of Maryland, College Park",United States of America,STEM-Biology
417,P25,240,"US Department of Agriculture, Wildlife Services, National Wildlife Disease Program, Fort Collins, Colorado, USA.",US Department of Agriculture,United States,STEM-Ecology
418,P25,241,"Department of Environmental Science and Technology, University of Maryland, College Park, Maryland, USA.",University of Maryland,United States of America,STEM-Ecology
419,P25,242,"US Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA.",US Geological Survey,United States,STEM-Ecology
420,P25,241,"US Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA.",US Geological Survey,United States,STEM-Ecology
421,P17,243,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.",South China Agricultural University,China,PH-VET
422,P17,242,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.",South China Agricultural University,China,PH-VET
423,P17,242,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.",South China Agricultural University,China,PH-VET
424,P17,242,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.",South China Agricultural University,China,PH-VET
425,P17,242,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.",South China Agricultural University,China,PH-VET
426,P17,242,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.",South China Agricultural University,China,PH-VET
427,P17,242,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.",South China Agricultural University,China,PH-VET
428,P17,244,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.;Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China.;Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China.","National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University",China,PH-VET
429,P17,243,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.;Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China.;Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China.","National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University",China,PH-VET
430,P17,243,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China.;Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China.;Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China.","National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University",China,PH-VET
431,P32,245,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
432,P32,246,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-EPI
433,P32,245,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-EPI
434,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,STEM
435,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
436,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
437,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,STEM-Biology
438,P32,247,"Institute for International Animal Health/One Health, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-VET
439,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
440,P32,245,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-EPI
441,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
442,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
443,P32,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,STEM
444,P46,248,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-MED
445,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-EPI
446,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.",National Center for Immunization and Respiratory Diseases,United States,PH-EPI
447,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-MED
448,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.",National Center for Immunization and Respiratory Diseases,United States,PH-MED
449,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-MED
450,P46,249,"Division of Global Health Protection, Global Health Center, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.",United States Centers for Disease Control and Prevention,United States,PH-EPI
451,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-MED
452,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.",National Center for Immunization and Respiratory Diseases or United States Centers for Disease Control and Prevention,United States,PH-MED
453,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-MED
454,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.",National Center for Immunization and Respiratory Diseases,United States,PH-MED
455,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-EPI
456,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-MED
457,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-EPI
458,P46,247,"Influenza Division, National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention, Atlanta, GA, United States.","National Center for Immunization and Respiratory Diseases, United States Centers for Disease Control and Prevention",United States,PH-MED
459,P47,250,"Department Population Health Sciences, Faculty of Veterinary Medicine, Utrecht University, 3584 CL Utrecht, The Netherlands.;Centre of Diagnostic Standard Indonesian Agricultural Quarantine Agency, Ministry of Agriculture, Jakarta 13220, Indonesia.","Utrecht University, Centre of Diagnostic Standard Indonesian Agricultural Quarantine Agency",Netherlands; Indonesia,PH-VET
460,P47,251,"National Institute for Public Health and the Environment, 3720 BA Bilthoven, The Netherlands.",National Institute for Public Health and the Environment,The Netherlands,PH-EPI
461,P47,252,"Great Ormond Street Institute of Child Health, University College London, London WC1N 1EH, UK.","Great Ormond Street Institute of Child Health, University College London",United Kingdom,PH-MED
462,P47,253,"Department Population Health Sciences, Faculty of Veterinary Medicine, Utrecht University, 3584 CL Utrecht, The Netherlands.;Institute for Risk Assessment Sciences (IRAS), Department Population Health Sciences, Faculty of Veterinary Medicine, Utrecht University, 3584 CL Utrecht, The Netherlands.",Utrecht University,The Netherlands,PH-VET
463,P47,254,"National Agency for Research and Innovation of The Republic of Indonesia, Jakarta 10340, Indonesia.",National Agency for Research and Innovation of The Republic of Indonesia,Indonesia,STEM
464,P47,255,"Department Population Health Sciences, Faculty of Veterinary Medicine, Utrecht University, 3584 CL Utrecht, The Netherlands.",Utrecht University,The Netherlands,PH-VET
465,P47,256,"Wageningen Bioveterinary Research, 8221 RA Lelystad, The Netherlands.",Wageningen Bioveterinary Research,The Netherlands,PH-VET
466,P47,257,"Faculty of Medicine, Universitas Hasanuddin, Makassar 90245, Indonesia.;Faculty of Medicine and Health, University of Sydney, Camperdown, NSW 2006, Australia.;Eijkman Institute for Molecular Biology, Jakarta 10430, Indonesia.","Universitas Hasanuddin, University of Sydney, Eijkman Institute for Molecular Biology",Indonesia,PH-MED
467,P48,258,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.","Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,PH-VET
468,P48,259,"Yunnan Tropical and Subtropical Animal Virus Diseases Laboratory, Yunnan Animal Science and Veterinary Institute, Kunming 650224, China.",Yunnan Animal Science and Veterinary Institute,China,PH-VET
469,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Guangdong Academy of Agricultural Sciences,China,PH-VET
470,P48,258,"Yunnan Tropical and Subtropical Animal Virus Diseases Laboratory, Yunnan Animal Science and Veterinary Institute, Kunming 650224, China.",Yunnan Animal Science and Veterinary Institute,China,PH-VET
471,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Guangdong Academy of Agricultural Sciences,China,PH-VET
472,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Guangdong Academy of Agricultural Sciences,China,PH-VET
473,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.","Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,PH-VET
474,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Guangdong Academy of Agricultural Sciences,China,PH-VET
