,,DOI,Paper associated ,Author,Affiliation code 1,Afilliation name 1,Affiliation code 2,Affiliation name 2,Corresponding author  ,First author,Afilliation code 3,Affiliation name 3,Country ,
,,,p31,Susanne Koethe ,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Anne Gu?nther ,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Lina Stacker ,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Dennis Rubbenstroth,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Klaas Dietze,,,,,,,,,,
,,,p31,Christian Grund,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Franz J. Conraths,124,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Timm Harde,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Martin Beer,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",,,,,,,,
,,,p31,Anne Pohlmann,125,"Institute for International Animal Health/One Health, Friedrich-Loeffler-Institut,
17493 Greifswald-Insel Riems, Germany",,,,,,,,
